,Title,Rank,Type,Episodes,Aired,Score
234,Ni no Kuni,6735,Movie,1,Aug 2019 - Aug 2019,6.43
235,Sam to Chip no wa Hachamecha Dai Race,11584,OVA,1,Jun 1993 - Jun 1993,5.24
236,Girls & Panzer Movie,368,Movie,1,Nov 2015 - Nov 2015,8.18
237,Azur Lane: Bisoku Zenshin! Hokorashiki Bokou ni Shukusai wo,4795,Special,1,Jul 2021 - Jul 2021,6.82
238,Osu,11768,Movie,1,Nov 1962 - Nov 1962,5.14
239,Fate/kaleid liner Prisma☆Illya 3rei!! Specials,5521,Special,6,Sep 2016 - Feb 2017,6.67
240,Ningyo no Kizu,5174,OVA,1,Sep 1993 - Sep 1993,6.74
241,Bishoujo Senshi Sailor Moon S: Kotaete Moon Call!,8491,OVA,1,Sep 1994 - Sep 1994,6.08
242,Lupin III: Pilot Film,7196,Movie,1,1969 - 1969,6.34
243,Wu Liuqi: Xuanwu Guo Pian,198,ONA,10,Jan 2021 - May 2021,8.36
244,Tales of Symphonia The Animation: Tethe'alla-hen Specials,3806,Special,4,Mar 2010 - Feb 2011,7.05
245,Ao no Exorcist: Kyoto Fujouou-hen,2281,TV,12,Jan 2017 - Mar 2017,7.35
246,1-gatsu ni wa Christmas,11418,OVA,1,Nov 1991 - Nov 1991,5.3
247,Digimon Xros Wars: Toki wo Kakeru Shounen Hunter-tachi,6848,TV,25,Oct 2011 - Mar 2012,6.41
248,Mikan Enikki,3222,TV,30,Oct 1992 - Jun 1993,7.17
249,Yatogame-chan Kansatsu Nikki Yonsatsume,7604,TV,10,Apr 2022 - Jun 2022,6.27
250,Little Nemo Pilot (1987),9465,Special,1,1987 - 1987,5.87
251,Duan Nao,7164,ONA,16,Nov 2014 - Jul 2015,6.35
252,Hana to Chou,12129,Movie,1,Oct 1954 - Oct 1954,4.93
253,Choujin Locke: Mirror Ring,11168,OVA,1,Dec 2000 - Dec 2000,5.39
254,Meng Qi Shi Shen: Zaijie Liangyuan,2595,ONA,12,Oct 2021 - Dec 2021,7.29
